;address;area;community;face;floor;link_url;price;rooms;square;title;uptime
0;永兴路644号;闸北 西藏北路;永兴路644号;南北;高层/7层;2052084;6200;2室0厅;52;人气房源，来电即看，南北直通，地铁沿线;20160811
1;紫薇路667弄1-177号;浦东 张江;阳光花城;暂无数据;高层/18层;3316811;8500;3室1厅;113;阳光花城，地铁沿线，业主降价出租，看房方便;20160730
2;黄金城道688弄;长宁 古北;御翠豪庭;南北;高层/32层;2658825;21000;2室2厅;112;稀缺南北通，热门好房，高清实拍，来电即看;20160615
3;五莲路759弄,五莲路729弄,五莲路7;浦东 金桥;龙臣公寓;暂无数据;高层/6层;3364012;6000;2室2厅;86;热门房源，精致户型，视野开阔，享受好房;20160820
4;桂林西街111弄;徐汇 康健;寿祥坊;南;高层/6层;3355616;5400;2室1厅;55;光线非常好，热门带看，地铁沿线，有钥匙;20160817
5;茅台路500弄2-9号;长宁 仙霞;茅台花苑;东南;中层/26层;3308892;6200;2室1厅;71;茅台花苑，错过不再有，地铁房，钥匙房;20160726
6;辽阳路189弄;杨浦 东外滩;辽海小区;南北;高层/7层;3297169;6500;2室1厅;65;辽海小区，南北户型，火爆热门，有钥匙房源;20160803
7;南丹东路300弄;徐汇 徐家汇;亚都国际名园;南;低层/32层;1005058;13000;2室2厅;110;亚都国际名园，钥匙房，高清实拍，精致户型;20160601
8;天钥桥路180弄38号;徐汇 徐家汇;华狮国际公寓;南;中层/19层;3270773;7500;1室1厅;120;华狮国际公寓，地铁直达，上门实拍，刚刚降价;20160713
9;万航渡路2505弄18-69;长宁 中山公园;益健小区;暂无数据;低层/15层;3387905;6500;2室0厅;48;益健小区，降价出租，错过不再有，上门实拍;20160831
10;洛阳新村;虹口 凉城;洛阳新村;东南;中层/7层;3380530;3600;1室0厅;30;光线充足，上门实拍，有爱有家，人气房源;20160828
11;殷行路850弄;杨浦 新江湾城;新江湾时代花园;南;低层/4层;3358749;4200;1室2厅;55;新江湾时代花园，人气房源，有爱有家，1室2厅;20160827
12;宛平南路268弄;徐汇 徐家汇;宛平南路268弄;南;高层/7层;1050993;5000;1室1厅;40;钥匙房，地铁房，温馨一室，放心好房;20160427
13;控江路128弄;杨浦 控江路;韵都城;南北;低层/17层;3358572;6300;3室1厅;80;稀罕南北通，舒适三室，上门实勘，低区出入方便;20160903
14;栖山路1489弄,栖山路1555弄;浦东 金杨;金樟花苑;南;高层/6层;3289699;4300;2室1厅;62;金樟花苑，随到随看，一链倾城，2室1厅1卫;20160717
15;浦东南路1349号（新发）,浦东南路13;浦东 潍坊;开发浦东;南;高层/25层;3289486;5000;2室1厅;67;精致户型，降价出租，光线非常好，一链倾城;20160717
16;凯旋北路1555弄;普陀 武宁;大华清水湾;南北;中层/18层;3350857;9200;2室2厅;109;大华清水湾，生活很便利，精致户型，黄金楼层;20160814
17;锦和路99弄;浦东 杨东;上海绿城;暂无数据;高层/13层;3347602;17000;3室2厅;137;高清实拍，出行方便，3室2厅，钥匙在手;20160813
18;乳山路130弄,乳山路138弄,乳山路1;浦东 源深;梅园三街坊;南;高层/6层;3347782;5500;2室1厅;48;梅园三街坊，刚刚降价，2室1厅1卫，上门实勘;20160813
