;address;floor;link_url;rooms;square;price;uptime
10;洛阳新村;中层/7层;3380530;1室0厅;30;3600;20160828
11;殷行路850弄;低层/4层;3358749;1室2厅;55;4200;20160827
70;安顺路231弄;低层/6层;3387929;1室1厅;42;3800;20160831
72;临平路250弄;高层/7层;3385405;1室1厅;42;3900;20160830
76;田林十一村;低层/6层;3387587;1室0厅;30;3800;20160831
77;城南路293弄;高层/5层;3385457;2室1厅;48;3000;20160830
80;共富路351弄（富成园）,联泰路518弄;高层/6层;3366202;2室1厅;69;3800;20160821
94;长岛路85弄,博兴路250弄,长岛路25;低层/6层;3387668;1室1厅;42;3100;20160831
95;梅花路768弄;高层/6层;3385805;3室1厅;152;2800;20160830
96;华丰路51弄,临沂路280弄,南码头路4;高层/6层;3384852;1室1厅;36;3800;20160830
97;国权北路10弄;高层/5层;3383818;2室0厅;55;4200;20160829
100;通河路100弄;高层/7层;3388516;1室1厅;43;3000;20160831
103;黄兴路1号;中层/29层;3392821;1室0厅;57;4000;20160902
108;菊泉街1398弄;高层/24层;3389473;2室2厅;78;3000;20160901
111;翔殷路491弄;中层/6层;3385160;2室0厅;39;3800;20160830
112;甘泉一村;中层/5层;3367688;1室0厅;25;3300;20160822
131;虹井路788弄4-24号;高层/6层;3389343;1室1厅;45;3000;20160901
132;广富林路1188弄;低层/14层;3397441;1室1厅;59;3300;20160904
135;虹古路380弄,虹古路410弄,仙霞路6;高层/6层;3395427;1室0厅;33;2800;20160903
136;长逸路327弄,淞南路200弄,淞南五村;中层/6层;3392439;2室1厅;62;4200;20160902
140;枣庄路658弄,金口路53弄,金口路15;高层/7层;3389191;2室1厅;59;4400;20160901
144;菊泉街39弄;中层/14层;3386778;2室2厅;81;2600;20160831
146;长清路643弄,长清路693弄,长清路7;高层/6层;3386349;1室1厅;41;3800;20160830
150;天山西路199弄;高层/7层;3383291;1室0厅;100;3500;20160829
151;丰谷路260弄,丰谷路300弄;中层/6层;3383084;1室1厅;42;4200;20160829
155;临汾路894弄,临汾路850弄,汾西路8;高层/6层;3373370;1室1厅;32;3200;20160825
240;凤城三村,长岭路75弄,延吉西路80弄,;高层/5层;3375009;1室0厅;34;2500;20160825
287;中山南二路918弄, 天钥新村, 天钥二;中层/6层;3306953;1室1厅;53;3500;20160823
306;汾西路864弄, 汾西路880弄, 保德;中层/6层;3383417;2室1厅;53;3700;20160829
312;微山二村;低层/6层;3385808;1室0厅;36;3400;20160830
317;凌云新村;高层/6层;3383027;1室0厅;40;3200;20160901
340;菊盛路851弄;高层/18层;3368487;1室1厅;53;2500;20160822
341;沧源路770弄,东川路925弄;高层/6层;3367092;2室1厅;62;3200;20160822
384;纪念路335弄;高层/15层;3373808;1室1厅;55;3500;20160825
385;莘西南路400弄,莘西南路380弄;低层/6层;3373450;2室1厅;70;4200;20160825
403;锦绣路3336弄,锦绣路3338弄;低层/6层;3371560;3室2厅;124;1300;20160824
404;菊盛路50弄;低层/6层;3370600;3室1厅;74;3300;20160823
405;三门路510弄;低层/6层;3369734;1室2厅;52;3800;20160823
406;罗阳路750弄（华宝小区）,罗阳路800;高层/6层;3366632;1室1厅;42;3300;20160821
408;华浜新村;高层/6层;3365529;2室1厅;61;3900;20160821
410;华夏一路325弄;高层/6层;3365094;2室1厅;75;3300;20160821
558;漕宝路1800弄;高层/6层;3367549;1室1厅;43;3800;20160822
564;祁华路58弄,祁华路59弄,祁华路218;中层/6层;3383412;1室1厅;45;2200;20160829
565;国和路611弄;低层/6层;3377318;2室1厅;53;4200;20160826
